Class	E-Class	E-Class	A-Class	Inchoative	Inchoative	Causative	Causative	Infixed	Infixed	Infixed	Infixed	Infixed	Infixed	Infixed	Suppletive	Suppletive	Suppletive	Suppletive	Suppletive	Suppletive	Suppletive	Defective	Defective	Defective	Irregular	Irregular	Irregular	Irregular	Regularized E-Class
Regularity	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Suppletive	Suppletive	Suppletive	Suppletive	Suppletive	Suppletive	Suppletive	Defective	Defective	Defective	Irregular	Irregular	Irregular	Irregular	Regularized irregular
Initial segment	C	V	C	C	V	C	V	C	V	C	V	C	V	C	V	V	C	C	V	C	C	C	V	V	C	V	C	C	C
Example lemma	երգել	ուղարկել	կարդալ	ցանկանալ	ուրախանալ	վերցնել	ուրախացնել	մեռնել	իջնել	փախնել	առնել	տեսնել	էլնել	թողնել	ուտել	անել	տանել	դնել	էթալ	տալ	գալ	կամ	ունեմ	արժեմ	բերած	ասած	դարձած	լուացած	բացած
Example gloss	to sing	to send	to read	to wish	to become happy	to buy	to make happy	to die	to descend	to escape	to buy	to see	to be	to let	to eat	to do	to take to	to put	to go	to give	to come	to exist	to have	to be worth	to bring	to say	to turn into	to wash	to open
Example stems	{X} = երգ-	{X} = ուղարկ-	{X} = կարդ-	{X} = ցանկա-	{X} = ուրախա-	{X} = վեր-	{X} = ուրախա-	{X} = մեռ-	{X} = իջ-	{X} = փախ-	{X} = առ-	{X} = տես-	{X} = էլ-	{X} = թող-	{Xprs} = ուտ-, {Xpst} = կեր-	{Xprs} = ան-, {Xpst} = ար-	{Xprs} = տան-, {Xpst} = տար-	{Xprs} = դն-, {Xpst} = դր-, {Ximp} = դիր-	{Xprs} = էթ-, {Xpst} = գն-	{Xprs} = տ-, {Xpst} = տու-, {Ximp} = տուր-	{Xprs} = գ-, {Xpst} = էկ-, {Ximp} արի-	{X} = կ-	{X} = ուն-	{X} = արժ-	{X} = բեր-	{X} = աս-	{Xprs} = դառ-, {Xpst} = դար-	{X} = լուա-	{X} = բաց-
infinitive	երգել	ուղարկել	կարդալ	ցանկանալ	ուրախանալ	վերցնել	ուրախացնել	մեռնել	իջնել	փախնել	առնել	տեսնել	էլնել	թողնել	ուտել	անել	տանել	դնել	էթալ	տալ	գալ				բերել	ասել	դառնալ	լուանալ	բացել
passive (even if infelicious for regulars)	երգուել	ուղարկուել	կարդացուել	ցանկացուել	ուրախացուել	վերցուել	ուրախացուել				առնուել	տեսնուել						դրուել											բացուել
causative (even if infelicious for regulars)	երգեցնել	ուղարկեցնել	կարդացնել	ցանկացնել	ուրախացնել			մեռցնել	իջցնել	փախցնել		տեսցնել		թողցնել															
resultative participle	երգած	ուղարկած	կարդացած	ցանկացած	ուրախացած	վերցրած	ուրախացրած	մեռած	իջած	փախած	առած	տեսած	էլած	թողած	կերած	արած	տարած	դրած	գնացած	տուած	էկած				բերած	ասած	դարձած	լուացած	բացած
subject participle	երգող	ուղարկող	կարդացող	ցանկացող	ուրախացող	վերցնող	ուրախացնող	մեռնող	իջնող	փախնող	առնող	տեսնող	էլնող	թողնող	ուտող	անող	տանող	դնող	գնացող	տուող	էկող				բերող	ասող	դարձող	լուացող	բացող
