Class	E-Class	E-Class	A-Class	Inchoative	Inchoative	Causative	Causative	Infixed	Infixed	Infixed	Infixed	Infixed	Infixed	Infixed	Suppletive	Suppletive	Suppletive	Suppletive	Suppletive	Suppletive	Suppletive	Defective	Defective	Irregular	Irregular	Irregular	Irregular	Regularized E-Class
Regularity	Regular	Regular	Regular	Regular	Regular	Regular	Regular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Suppletive	Suppletive	Suppletive	Suppletive	Suppletive	Suppletive	Suppletive	Defective	Defective	Irregular	Irregular	Irregular	Irregular	Regularized irregular
Initial segment	C	V	C	C	V	C	V	C	V	C	V	C	V	C	V	V	C	C	V	C	C	C	V	C	V	C	C	C
Example lemma	երգել	ուղարկել	կարդալ	ցանկանալ	ուրախանալ	վերցնել	ուրախացնել	մեռնել	իջնել	փախնել	առնել	տեսնել	էլնել	թողնել	ուտել	անել	տանել	դնել	էթալ	տալ	գալ	կամ	ունեմ	բերած	ասած	դարձած	լուացած	բացած
Example gloss	to sing	to send	to read	to wish	to become happy	to buy	to make happy	to die	to descend	to escape	to buy	to see	to be	to let	to eat	to do	to take to	to put	to go	to give	to come	to exist	to have	to bring	to say	to turn into	to wash	to open
Example stems	{X} = երգ-	{X} = ուղարկ-	{X} = կարդ-	{X} = ցանկա-	{X} = ուրախա-	{X} = վեր-	{X} = ուրախա-	{X} = մեռ-	{X} = իջ-	{X} = փախ-	{X} = առ-	{X} = տես-	{X} = էլ-	{X} = թող-	{Xprs} = ուտ-, {Xpst} = կեր-	{Xprs} = ան-, {Xpst} = ար-	{Xprs} = տան-, {Xpst} = տար-	{Xprs} = դն-, {Xpst} = դր-, {Ximp} = դիր-	{Xprs} = էթ-, {Xpst} = գն-	{Xprs} = տ-, {Xpst} = տու-, {Ximp} = տուր-	{Xprs} = գ-, {Xpst} = էկ-, {Ximp} արի-	{X} = կ-	{X} = ուն-	{X} = բեր-	{X} = աս-	{Xprs} = դառ-, {Xpst} = դար-	{X} = լուա-	{X} = բաց-
infinitive	{X}ել	{X}ել	{X}ալ	{X}նալ	{X}նալ	{X}ցնել	{X}ցնել	{X}նել	{X}նել	{X}նել	{X}նել	{X}նել	{X}նել	{X}նել	{Xprs}ել	{Xprs}ել	{Xprs}ել	{Xprs}ել	{Xprs}ալ	{Xprs}ալ	{Xprs}ալ			{X}ել	{X}ել	{Xprs}նալ	{X}նալ	{X}ել
passive (even if infelicious for regulars)	{X}ուել	{X}ուել	{X}ացուել	{X}ցուել	{X}ցուել	{X}ցուել	{X}ցուել				{X}նուել	{X}նուել						{Xpst}ուել										{X}ուել
causative (even if infelicious for regulars)	{X}եցնել	{X}եցնել	{X}ացնել	{X}ցնել	{X}ցնել			{X}ցնել	{X}ցնել	{X}ցնել		{X}ցնել		{X}ցնել														
resultative participle	{X}ած	{X}ած	{X}ացած	{X}ցած	{X}ցած	{X}ցրած	{X}ցրած	{X}ած	{X}ած	{X}ած	{X}ած	{X}ած	{X}ած	{X}ած	{Xpst}ած	{Xpst}ած	{Xpst}ած	{Xpst}ած	{Xpst}ացած	{Xpst}ած	{Xpst}ած			{X}ած	{X}ած	{Xpst}ձած	{X}ցած	{X}ած
subject participle	{X}ող	{X}ող	{X}ացող	{X}ցող	{X}ցող	{X}ցնող	{X}ցնող	{X}նող	{X}նող	{X}նող	{X}նող	{X}նող	{X}նող	{X}նող	{Xprs}ող	{Xprs}ող	{Xprs}ող	{Xprs}ող	{Xpst}ացող	{Xpst}ող	{Xpst}ող			{X}ող	{X}ող	{Xpst}ձող	{X}ցող	{X}ող
imperfective converb	{X}ում	{X}ում	{X}ում	{X}նում	{X}նում	{X}ցնում	{X}ցնում	{X}նում	{X}նում	{X}նում	{X}նում	{X}նում	{X}նում	{X}նում	{Xprs}ում	{Xprs}ում	{Xprs}ում	{Xprs}ում	{Xprs}ում	{Xprs}ալիս	{Xprs}ալիս			{X}ում	{X}ում	{Xprs}նում	{X}նում	{X}ում
perfective converb A	{X}ել	{X}ել	{X}ացել	{X}ցել	{X}ցել	{X}ցրել	{X}ցրել	{X}ել	{X}ել	{X}ել	{X}ել	{X}ել	{X}ել	{X}ել	{Xpst}ել	{Xpst}ել	{Xpst}ել	{Xpst}ել	{Xpst}ացել	{Xpst}ել	{Xpst}ել			{X}ել	{X}ել	{Xpst}ձել	{X}ցել	{X}ել
perfective converb A	{X}եր	{X}եր	{X}ացեր	{X}ցեր	{X}ցեր	{X}ցրեր	{X}ցրեր	{X}եր	{X}եր	{X}եր	{X}եր	{X}եր	{X}եր	{X}եր	{Xpst}եր	{Xpst}եր	{Xpst}եր	{Xpst}եր	{Xpst}ացեր	{Xpst}եր	{Xpst}եր			{X}եր	{X}եր	{Xpst}ձեր	{X}ցեր	{X}եր
future converb	{X}ելու	{X}ելու	{X}ալու	{X}նալու	{X}նալու	{X}ցնելու	{X}ցնելու	{X}նելու	{X}նելու	{X}նելու	{X}նելու	{X}նելու	{X}նելու	{X}նելու	{Xprs}ելու	{Xprs}ելու	{Xprs}ելու	{Xprs}ելու	{Xprs}ալու	{Xprs}ալու	{Xprs}ալու			{X}ելու	{X}ելու	{Xprs}նալու	{X}նալու	{X}ելու
connegative converb	{X}ի	{X}ի	{X}այ	{X}նայ	{X}նայ	{X}ցնի	{X}ցնի	{X}նի	{X}նի	{X}նի	{X}նի	{X}նի	{X}նի	{X}նի	{Xprs}ի	{Xprs}ի	{Xprs}ի	{Xprs}ի	{Xprs}այ	{Xprs}այ	{Xprs}այ			{X}ի	{X}ի	{Xprs}նայ	{X}նայ	{X}ի
indicative present 1SG	{X}ում եմ	{X}ում եմ	{X}ում եմ	{X}նում եմ	{X}նում եմ	{X}ցնում եմ	{X}ցնում եմ	{X}նում եմ	{X}նում եմ	{X}նում եմ	{X}նում եմ	{X}նում եմ	{X}նում եմ	{X}նում եմ	{Xprs}ում եմ	{Xprs}ում եմ	{Xprs}ում եմ	{Xprs}ում եմ	{Xprs}ում եմ	{Xprs}ալիս եմ	{Xprs}ալիս եմ	{X}ամ	{X}եմ	{X}ում եմ	{X}ում եմ	{Xprs}նում եմ	{X}նում եմ	{X}ում եմ
indicative present 2SG	{X}ում ես	{X}ում ես	{X}ում ես	{X}նում ես	{X}նում ես	{X}ցնում ես	{X}ցնում ես	{X}նում ես	{X}նում ես	{X}նում ես	{X}նում ես	{X}նում ես	{X}նում ես	{X}նում ես	{Xprs}ում ես	{Xprs}ում ես	{Xprs}ում ես	{Xprs}ում ես	{Xprs}ում ես	{Xprs}ալիս ես	{Xprs}ալիս ես	{X}աս	{X}ես	{X}ում ես	{X}ում ես	{Xprs}նում ես	{X}նում ես	{X}ում ես
indicative present 3SG	{X}ում ա	{X}ում ա	{X}ում ա	{X}նում ա	{X}նում ա	{X}ցնում ա	{X}ցնում ա	{X}նում ա	{X}նում ա	{X}նում ա	{X}նում ա	{X}նում ա	{X}նում ա	{X}նում ա	{Xprs}ում ա	{Xprs}ում ա	{Xprs}ում ա	{Xprs}ում ա	{Xprs}ում ա	{Xprs}ալիս ա	{Xprs}ալիս ա	{X}այ	{X}ի	{X}ում ա	{X}ում ա	{Xprs}նում ա	{X}նում ա	{X}ում ա
indicative present 1PL	{X}ում ենք	{X}ում ենք	{X}ում ենք	{X}նում ենք	{X}նում ենք	{X}ցնում ենք	{X}ցնում ենք	{X}նում ենք	{X}նում ենք	{X}նում ենք	{X}նում ենք	{X}նում ենք	{X}նում ենք	{X}նում ենք	{Xprs}ում ենք	{Xprs}ում ենք	{Xprs}ում ենք	{Xprs}ում ենք	{Xprs}ում ենք	{Xprs}ալիս ենք	{Xprs}ալիս ենք	{X}անք	{X}ենք	{X}ում ենք	{X}ում ենք	{Xprs}նում ենք	{X}նում ենք	{X}ում ենք
