Class	E-Class	E-Class	A-Class	Inchoative	Inchoative	Causative	Causative	Infixed	Infixed	Infixed	Infixed	Infixed	Infixed	Infixed	Suppletive	Suppletive	Suppletive	Suppletive	Suppletive	Suppletive	Suppletive	Defective	Defective	Irregular	Irregular	Irregular	Irregular	Regularized E-Class
Properties	Regular, C-initial	Regular, V-initial	Regular	Regular, C-initial	Regular, V-initial	Regular, C-initial	Regular, V-initial	Irregular, C-initial	Irregular, V-initial	Irregular - historically t͡ʃʰ infix	Irregular - imperative	Irregular - imperative	Irregular - historically suppletive	Irregular - imperative	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Irregular	Imperative 2SG	Imperative 2SG	Irregular inchoative	Irregular inchoative	Historically irregular verb
Gloss	to sing	to send	to read	to wish	to become happy	to buy	to make happy	to die	to descend	to escape	to buy	to see	to be	to let	to eat	to do	to take to	to put	to go	to give	to come	to exist	to have	to bring	to say	to turn into	to wash	to open
Basic stems	{X} = jeɻkʰ-	{X} = uʁɒɻk-	{X} = kɒɻtʰ-	{X} = t͡sʰɒnk-	{X} = uɻɒχɒ-	{X} = veɻ-	{X} = uɻɒχɒ-	{X} = mer-	{X} = it͡ʃʰ-	{X} = pʰɒχ-	{X} = ɒr-	{X} = tes-	{X} = el-	{X} = tʰoʁ-	{Xprs} = ut-, {Xpst} = keɻ-	{Xprs} = ɒn-, {Xpst} = ɒɻ-	{Xprs} = tɒn-, {Xpst} = tɒɻ-	{Xprs} = dən-, {Xpst} = dəɻ-, {Ximp} = diɻ-	{Xprs} = etʰ-, {Xpst} = ɡən-	{Xprs} = t-, {Xpst} = tu-, {Ximp} = tuɻ-	{Xprs} = ɡ-, {Xpst} = ek-, {Ximp} = ɒɻi-	{X} = k-	{X} = un-	{X} = beɻ	{X} = ɒs-	{Xprs} = dɒr-, {Xpst} = dɒɻ-	{X} = ləvɒ-	{X} = bɒt͡sʰ-
infinitive	jeɻkʰel	uʁɒɻkel	kɒɻtʰɒl	t͡sʰɒnknɒl	uɻɒχɒnɒl	veɻt͡sʰnel	uɻɒχɒt͡sʰnel	mernel	it͡ʃʰnel	pʰɒχnel	ɒrnel	tesnel	elnel	tʱɒʁnel	utel	ɒnel	tɒnel	dənel	etʰɒl	tɒl	ɡɒl			beɻel	ɒsel	dɒrnɒl	ləvɒnɒl	bɒt͡sʰel
passive (even if infelicious for regulars)	jeɻkʰvel	uʁɒɻkvel	kɒɻtʰɒt͡sʰvel	t͡sʰɒnkt͡sʰvel	uɻɒχɒt͡sʰvel	veɻt͡sʰvel	uɻɒχɒt͡sʰvel				ɒrnvel	tesnvel						dəɻvel										bɒt͡sʰvel
causative (even if infelicious for regulars)	jeɻkʰet͡sʰnel	uʁɒɻket͡sʰnel	kɒɻtʰɒt͡sʰnel	t͡sʰɒnkt͡sʰnel	uɻɒχɒt͡sʰnel			mert͡sʰnel	it͡ʃʰt͡sʰnel	pʰɒχt͡sʰnel		test͡sʰnel		tʱɒʁt͡sʰnel														
resultative participle	jeɻkʰɒt͡sʰ	uʁɒɻkɒt͡sʰ	kɒɻtʰɒt͡sʰɒt͡sʰ	t͡sʰɒnkt͡sʰɒt͡sʰ	uɻɒχɒt͡sʰɒt͡sʰ	veɻt͡sʰɻɒt͡sʰ	uɻɒχɒt͡sʰɻɒt͡sʰ	merɒt͡sʰ	it͡ʃʰɒt͡sʰ	pʰɒχɒt͡sʰ	ɒrɒt͡sʰ	tesɒt͡sʰ	elɒt͡sʰ	tʱɒʁɒt͡sʰ	keɻɒt͡sʰ	ɒɻɒt͡sʰ	tɒɻɒt͡sʰ	dəɻɒt͡sʰ	ɡənɒt͡sʰɒt͡sʰ	təvɒt͡sʰ	ekɒt͡sʰ			beɻɒt͡sʰ	ɒsɒt͡sʰ	dɒɻt͡sʰɒt͡sʰ	ləvɒt͡sʰɒt͡sʰ	bɒt͡sʰɒt͡sʰ
subject participle	jeɻkʰoʁ	uʁɒɻkoʁ	kɒɻtʰɒt͡sʰoʁ	t͡sʰɒnkt͡sʰoʁ	uɻɒχɒt͡sʰoʁ	veɻt͡sʰnoʁ	uɻɒχɒt͡sʰnoʁ	mernoʁ	it͡ʃʰnoʁ	pʰɒχnoʁ	ɒrnoʁ	tesnoʁ	elnoʁ	tʱɒʁnoʁ	utoʁ	ɒnoʁ	tɒnoʁ	dənoʁ	ɡənɒt͡sʰoʁ	təvoʁ	ekoʁ			beɻoʁ	ɒsoʁ	dɒɻt͡sʰoʁ	ləvɒt͡sʰoʁ	bɒt͡sʰoʁ
imperfective converb	jeɻkʰum	uʁɒɻkum	kɒɻtʰum	t͡sʰɒnknum	uɻɒχɒnum	veɻt͡sʰnum	uɻɒχɒt͡sʰnum	mernum	it͡ʃʰnum	pʰɒχnum	ɒrnum	tesnum	elnum	tʱɒʁnum	utum	ɒnum	tɒnum	dənum	etʰum	tɒlis	ɡɒlis			beɻum	ɒsum	dɒrnum	ləvɒnum	bɒt͡sʰum
perfective converb A	jeɻkʰel	uʁɒɻkel	kɒɻtʰɒt͡sʰel	t͡sʰɒnkt͡sʰel	uɻɒχɒt͡sʰel	veɻt͡sʰɻel	uɻɒχɒt͡sʰɻel	merel	it͡ʃʰel	pʰɒχel	ɒrel	tesel	elel	tʱɒʁel	keɻel	ɒɻel	tɒɻel	dəɻel	ɡənɒt͡sʰel	təvel	ekel			beɻel	ɒsel	dɒɻt͡sʰel	ləvɒt͡sʰel	bɒt͡sʰel
perfective converb A	jeɻkʰeɻ	uʁɒɻkeɻ	kɒɻtʰɒt͡sʰeɻ	t͡sʰɒnkt͡sʰeɻ	uɻɒχɒt͡sʰeɻ	veɻt͡sʰɻeɻ	uɻɒχɒt͡sʰɻeɻ	mereɻ	it͡ʃʰeɻ	pʰɒχeɻ	ɒreɻ	teseɻ	eleɻ	tʱɒʁeɻ	keɻeɻ	ɒɻeɻ	tɒɻeɻ	dəɻeɻ	ɡənɒt͡sʰeɻ	təveɻ	ekeɻ			beɻeɻ	ɒseɻ	dɒɻt͡sʰeɻ	ləvɒt͡sʰeɻ	bɒt͡sʰeɻ
future converb	jeɻkʰelu	uʁɒɻkelu	kɒɻtʰɒlu	t͡sʰɒnknɒlu	uɻɒχɒnɒlu	veɻt͡sʰnelu	uɻɒχɒt͡sʰnelu	mernelu	it͡ʃʰnelu	pʰɒχnelu	ɒrnelu	tesnelu	elnelu	tʱɒʁnelu	utelu	ɒnelu	tɒnelu	dənelu	etʰɒlu	tɒlu	ɡɒlu			beɻelu	ɒselu	dɒrnɒlu	ləvɒnɒlu	bɒt͡sʰelu
connegative converb	jeɻkʰi	uʁɒɻki	kɒɻtʰɒj	t͡sʰɒnknɒj	uɻɒχɒnɒj	veɻt͡sʰni	uɻɒχɒt͡sʰni	merni	it͡ʃʰni	pʰɒχni	ɒrni	tesni	elni	tʱɒʁni	uti	ɒni	tɒni	dəni	etʰɒj	tɒj	ɡɒj			beɻi	ɒsi	dɒrnɒj	ləvɒnɒj	bɒt͡sʰi
indicative present 1SG	jeɻkʰum em	uʁɒɻkum em	kɒɻtʰum em	t͡sʰɒnknum em	uɻɒχɒnum em	veɻt͡sʰnum em	uɻɒχɒt͡sʰnum em	mernum em	it͡ʃʰnum em	pʰɒχnum em	ɒrnum em	tesnum em	elnum em	tʱɒʁnum em	utum em	ɒnum em	tɒnum em	dənum em	etʰum em	tɒlis em	ɡɒlis em	kɒm	unem	beɻum em	ɒsum em	dɒrnum em	ləvɒnum em	bɒt͡sʰum em
indicative present 2SG	jeɻkʰum es	uʁɒɻkum es	kɒɻtʰum es	t͡sʰɒnknum es	uɻɒχɒnum es	veɻt͡sʰnum es	uɻɒχɒt͡sʰnum es	mernum es	it͡ʃʰnum es	pʰɒχnum es	ɒrnum es	tesnum es	elnum es	tʱɒʁnum es	utum es	ɒnum es	tɒnum es	dənum es	etʰum es	tɒlis es	ɡɒlis es	kɒs	unes	beɻum es	ɒsum es	dɒrnum es	ləvɒnum es	bɒt͡sʰum es
indicative present 3SG	jeɻkʰum ɒ	uʁɒɻkum ɒ	kɒɻtʰum ɒ	t͡sʰɒnknum ɒ	uɻɒχɒnum ɒ	veɻt͡sʰnum ɒ	uɻɒχɒt͡sʰnum ɒ	mernum ɒ	it͡ʃʰnum ɒ	pʰɒχnum ɒ	ɒrnum ɒ	tesnum ɒ	elnum ɒ	tʱɒʁnum ɒ	utum ɒ	ɒnum ɒ	tɒnum ɒ	dənum ɒ	etʰum ɒ	tɒlis ɒ	ɡɒlis ɒ	kɒj	uni	beɻum ɒ	ɒsum ɒ	dɒrnum ɒ	ləvɒnum ɒ	bɒt͡sʰum ɒ
indicative present 1PL	jeɻkʰum eŋkʰ	uʁɒɻkum eŋkʰ	kɒɻtʰum eŋkʰ	t͡sʰɒnknum eŋkʰ	uɻɒχɒnum eŋkʰ	veɻt͡sʰnum eŋkʰ	uɻɒχɒt͡sʰnum eŋkʰ	mernum eŋkʰ	it͡ʃʰnum eŋkʰ	pʰɒχnum eŋkʰ	ɒrnum eŋkʰ	tesnum eŋkʰ	elnum eŋkʰ	tʱɒʁnum eŋkʰ	utum eŋkʰ	ɒnum eŋkʰ	tɒnum eŋkʰ	dənum eŋkʰ	etʰum eŋkʰ	tɒlis eŋkʰ	ɡɒlis eŋkʰ	kɒŋkʰ	uneŋkʰ	beɻum eŋkʰ	ɒsum eŋkʰ	dɒrnum eŋkʰ	ləvɒnum eŋkʰ	bɒt͡sʰum eŋkʰ
indicative present 2PL	jeɻkʰum ekʰ	uʁɒɻkum ekʰ	kɒɻtʰum ekʰ	t͡sʰɒnknum ekʰ	uɻɒχɒnum ekʰ	veɻt͡sʰnum ekʰ	uɻɒχɒt͡sʰnum ekʰ	mernum ekʰ	it͡ʃʰnum ekʰ	pʰɒχnum ekʰ	ɒrnum ekʰ	tesnum ekʰ	elnum ekʰ	tʱɒʁnum ekʰ	utum ekʰ	ɒnum ekʰ	tɒnum ekʰ	dənum ekʰ	etʰum ekʰ	tɒlis ekʰ	ɡɒlis ekʰ	kɒkʰ	unekʰ	beɻum ekʰ	ɒsum ekʰ	dɒrnum ekʰ	ləvɒnum ekʰ	bɒt͡sʰum ekʰ
indicative present 3PL	jeɻkʰum en	uʁɒɻkum en	kɒɻtʰum en	t͡sʰɒnknum en	uɻɒχɒnum en	veɻt͡sʰnum en	uɻɒχɒt͡sʰnum en	mernum en	it͡ʃʰnum en	pʰɒχnum en	ɒrnum en	tesnum en	elnum en	tʱɒʁnum en	utum en	ɒnum en	tɒnum en	dənum en	etʰum en	tɒlis en	ɡɒlis en	kɒn	unen	beɻum en	ɒsum en	dɒrnum en	ləvɒnum en	bɒt͡sʰum en
